session_id,student_id,mentor_id,subject,style_match,schedule_overlap,duration_minutes,rating
SES1,S1502,M68,Statistics,0,0,60,4
SES2,S980,M26,Web Development,0,2,35,1
SES3,S881,M41,Machine Learning,0,3,46,2
SES4,S2571,M143,Web Development,0,2,46,3
SES5,S4694,M27,Database Systems,0,2,40,2
SES6,S2647,M155,Web Development,1,2,31,2
SES7,S893,M188,Python,0,2,28,1
SES8,S45,M174,Java,0,1,35,1
SES9,S287,M35,Machine Learning,0,2,31,2
SES10,S468,M98,Data Structures,1,2,60,4
SES11,S1479,M156,Python,1,3,51,4
SES12,S914,M64,Data Structures,0,4,30,1
SES13,S2284,M38,Database Systems,0,1,36,2
SES14,S5000,M39,Operating Systems,0,3,44,2
SES15,S568,M67,Calculus,0,1,37,1
SES16,S4578,M142,Operating Systems,0,3,36,2
SES17,S2568,M125,Web Development,0,0,50,3
SES18,S4064,M66,Database Systems,0,5,37,2
SES19,S700,M135,Machine Learning,1,2,26,1
SES20,S305,M29,Data Structures,0,2,38,2
SES21,S3790,M60,Statistics,0,0,33,1
SES22,S455,M39,Statistics,1,3,60,4
SES23,S2762,M9,Computer Networks,1,0,50,4
SES24,S4474,M162,Operating Systems,1,2,46,3
SES25,S4255,M109,Operating Systems,1,4,32,2
SES26,S3463,M108,Computer Networks,0,2,43,3
SES27,S1204,M18,Python,1,0,53,4
SES28,S436,M49,Web Development,1,2,52,3
SES29,S4807,M166,Python,0,0,42,3
SES30,S2900,M10,Web Development,0,2,41,3
SES31,S3773,M83,Machine Learning,0,1,33,1
SES32,S1397,M148,Python,1,1,48,4
SES33,S1600,M55,Java,0,1,33,2
SES34,S1616,M131,Operating Systems,1,0,53,3
SES35,S857,M127,Operating Systems,0,3,50,3
SES36,S1957,M153,Web Development,0,1,33,2
SES37,S1753,M155,Machine Learning,1,2,49,3
SES38,S3789,M80,Web Development,0,0,40,2
SES39,S1648,M25,Operating Systems,0,1,41,2
SES40,S2185,M182,Database Systems,1,1,57,5
SES41,S4934,M82,Web Development,1,1,69,5
SES42,S3709,M27,Database Systems,0,1,24,1
SES43,S4426,M38,Java,0,2,37,2
SES44,S3270,M110,Machine Learning,0,2,38,1
SES45,S127,M194,Web Development,0,0,42,3
SES46,S948,M36,Java,0,1,30,1
SES47,S3013,M196,Data Structures,1,1,57,5
SES48,S516,M123,Statistics,1,2,31,1
SES49,S3614,M45,Statistics,1,1,51,3
SES50,S2547,M131,Data Structures,0,1,38,1
SES51,S2742,M188,Calculus,0,1,42,2
SES52,S1381,M178,Java,0,0,48,3
SES53,S1550,M196,Data Structures,0,1,28,1
SES54,S814,M9,Statistics,0,0,41,2
SES55,S1853,M45,Calculus,0,2,40,2
SES56,S4013,M183,Java,0,1,32,2
SES57,S3560,M140,Statistics,0,0,29,1
SES58,S1273,M154,Calculus,1,1,46,2
SES59,S2186,M38,Database Systems,0,2,49,4
SES60,S807,M168,Statistics,1,2,45,3
SES61,S2486,M120,Operating Systems,0,2,43,2
SES62,S1433,M23,Java,1,1,48,4
SES63,S2994,M46,Computer Networks,0,2,41,3
SES64,S606,M199,Computer Networks,1,1,58,4
SES65,S1355,M128,Web Development,1,1,55,5
SES66,S552,M61,Python,0,2,45,2
SES67,S2474,M150,Computer Networks,1,4,44,2
SES68,S3398,M5,Calculus,0,1,37,1
SES69,S2558,M1,Machine Learning,0,2,51,3
SES70,S1878,M183,Java,1,1,40,3
SES71,S1626,M167,Java,0,1,30,1
SES72,S1559,M152,Machine Learning,0,0,46,2
SES73,S497,M64,Data Structures,1,3,62,5
SES74,S3321,M30,Data Structures,1,0,27,1
SES75,S1375,M193,Computer Networks,1,1,45,2
SES76,S2607,M183,Statistics,1,2,47,4
SES77,S1488,M28,Statistics,0,0,35,1
SES78,S2339,M195,Statistics,0,2,44,2
SES79,S3133,M25,Python,0,0,30,1
SES80,S1967,M27,Database Systems,0,1,61,4
SES81,S2183,M71,Machine Learning,1,2,64,5
SES82,S4188,M140,Statistics,0,0,34,2
