student_id,name,learning_style,subjects_needed,subjects_strong,availability,semester,gpa
S1,Student_1,Read-Write,Computer Networks|Statistics|Web Development,Machine Learning,Fri_Afternoon|Fri_Evening|Mon_Evening|Thu_Afternoon,6,2.18
S2,Student_2,Visual,Calculus|Data Structures|Database Systems,Java,Sat_Evening|Sat_Morning|Wed_Morning,4,3.74
S3,Student_3,Auditory,Database Systems|Data Structures,,Fri_Evening|Sat_Evening|Sat_Morning|Thu_Evening|Thu_Morning|Tue_Morning|Wed_Afternoon|Wed_Morning,4,3.1
S4,Student_4,Read-Write,Computer Networks|Python,Operating Systems|Web Development,Fri_Evening|Fri_Morning|Mon_Afternoon|Sat_Afternoon|Sat_Morning,8,3.52
S5,Student_5,Visual,Calculus|Operating Systems,Java,Fri_Morning|Mon_Morning|Sat_Afternoon|Thu_Morning|Tue_Afternoon|Wed_Afternoon|Wed_Evening,7,2.59
S6,Student_6,Kinesthetic,Operating Systems,,Fri_Morning|Sat_Evening|Sat_Morning|Thu_Afternoon|Thu_Evening|Tue_Afternoon|Wed_Afternoon,8,2.92
S7,Student_7,Auditory,Operating Systems|Web Development|Java,Computer Networks|Database Systems,Fri_Afternoon|Fri_Evening|Mon_Afternoon|Sat_Afternoon|Sat_Evening|Sat_Morning|Thu_Afternoon,1,3.53
S8,Student_8,Auditory,Web Development|Calculus,,Fri_Evening|Sat_Afternoon|Wed_Morning,6,2.12
S9,Student_9,Visual,Statistics|Python|Java,,Fri_Afternoon|Mon_Morning|Sat_Evening|Sat_Morning|Thu_Evening|Tue_Afternoon|Wed_Evening,5,2.03
S10,Student_10,Auditory,Computer Networks|Web Development|Machine Learning,,Fri_Afternoon|Sat_Afternoon|Wed_Evening|Wed_Morning,6,2.53
S11,Student_11,Auditory,Machine Learning|Operating Systems,Statistics,Fri_Afternoon|Fri_Evening|Mon_Afternoon|Mon_Evening|Mon_Morning|Thu_Afternoon|Thu_Morning|Wed_Afternoon,7,2.76
S12,Student_12,Kinesthetic,Python|Data Structures|Java,Web Development|Machine Learning,Fri_Evening|Mon_Afternoon|Sat_Afternoon|Thu_Afternoon|Thu_Evening|Tue_Morning,8,2.54
S13,Student_13,Read-Write,Database Systems,Data Structures|Web Development,Fri_Morning|Tue_Afternoon|Wed_Morning,2,2.6
S14,Student_14,Auditory,Calculus|Computer Networks|Operating Systems,Statistics,Fri_Afternoon|Mon_Afternoon|Mon_Evening|Mon_Morning|Sat_Afternoon|Thu_Evening|Tue_Morning|Wed_Morning,6,3.21
S15,Student_15,Read-Write,Statistics|Computer Networks|Operating Systems,,Fri_Afternoon|Sat_Morning|Thu_Evening|Wed_Afternoon|Wed_Evening|Wed_Morning,3,3.36
S16,Student_16,Visual,Computer Networks|Machine Learning|Database Systems,,Fri_Morning|Tue_Afternoon|Wed_Evening,3,3.48
S17,Student_17,Visual,Operating Systems|Machine Learning,,Fri_Evening|Mon_Afternoon|Mon_Evening|Thu_Evening|Wed_Evening,2,2.37
S18,Student_18,Visual,Java|Statistics,Computer Networks|Data Structures,Mon_Evening|Thu_Afternoon|Thu_Evening,7,2.02
S19,Student_19,Auditory,Computer Networks|Machine Learning,Database Systems|Operating Systems,Fri_Afternoon|Fri_Evening|Fri_Morning|Mon_Evening|Sat_Morning|Tue_Afternoon|Tue_Evening|Wed_Afternoon,2,2.33
S20,Student_20,Read-Write,Computer Networks|Database Systems,Machine Learning,Mon_Afternoon|Sat_Evening|Sat_Morning|Wed_Afternoon|Wed_Morning,3,2.61
S21,Student_21,Read-Write,Operating Systems|Computer Networks,Statistics,Sat_Afternoon|Thu_Afternoon|Thu_Evening|Thu_Morning|Tue_Afternoon|Tue_Morning,8,2.63
S22,Student_22,Auditory,Operating Systems|Database Systems,Statistics|Computer Networks,Fri_Morning|Mon_Afternoon|Sat_Evening|Tue_Evening|Wed_Evening,4,3.18
S23,Student_23,Auditory,Web Development|Java|Data Structures,Operating Systems|Python,Fri_Afternoon|Mon_Evening|Sat_Afternoon|Thu_Afternoon|Thu_Morning|Wed_Afternoon,5,2.48
S24,Student_24,Kinesthetic,Web Development|Computer Networks|Java,,Fri_Afternoon|Fri_Morning|Mon_Morning|Sat_Afternoon|Sat_Morning|Tue_Evening|Wed_Evening,2,2.22
S25,Student_25,Visual,Operating Systems,,Fri_Afternoon|Fri_Evening|Fri_Morning|Mon_Afternoon|Mon_Morning|Thu_Afternoon|Tue_Afternoon,4,3.02
S26,Student_26,Kinesthetic,Java|Calculus|Python,Database Systems,Mon_Afternoon|Mon_Morning|Sat_Afternoon|Sat_Evening|Thu_Evening|Tue_Afternoon|Wed_Afternoon|Wed_Morning,2,2.23
S27,Student_27,Auditory,Web Development|Operating Systems|Database Systems,Computer Networks,Fri_Morning|Mon_Afternoon|Sat_Afternoon|Sat_Evening|Sat_Morning|Thu_Evening|Wed_Afternoon,8,2.64
S28,Student_28,Read-Write,Data Structures|Machine Learning,,Fri_Afternoon|Fri_Evening|Mon_Evening|Sat_Afternoon|Tue_Evening|Tue_Morning|Wed_Afternoon|Wed_Evening,7,3.92
S29,Student_29,Kinesthetic,Computer Networks,Web Development|Statistics,Fri_Afternoon|Fri_Evening|Mon_Morning|Sat_Afternoon|Thu_Morning|Wed_Morning,1,3.41
S30,Student_30,Auditory,Database Systems,Machine Learning|Statistics,Fri_Evening|Mon_Afternoon|Thu_Afternoon|Tue_Afternoon|Wed_Morning,8,3.06
S31,Student_31,Read-Write,Operating Systems|Computer Networks|Java,Data Structures|Web Development,Mon_Evening|Sat_Evening|Sat_Morning|Thu_Afternoon|Thu_Morning|Tue_Evening,2,2.48
S32,Student_32,Kinesthetic,Web Development,Calculus,Fri_Afternoon|Fri_Morning|Mon_Evening|Thu_Afternoon|Tue_Afternoon|Wed_Afternoon,3,3.11
S33,Student_33,Read-Write,Database Systems|Web Development,,Mon_Afternoon|Mon_Evening|Mon_Morning|Thu_Evening|Tue_Morning|Wed_Afternoon,7,3.93
S34,Student_34,Kinesthetic,Python|Computer Networks|Statistics,Operating Systems,Fri_Evening|Fri_Morning|Mon_Evening|Mon_Morning|Tue_Evening|Tue_Morning,5,2.07
S35,Student_35,Kinesthetic,Java,Web Development,Mon_Afternoon|Sat_Afternoon|Sat_Morning|Thu_Morning|Tue_Afternoon|Tue_Morning|Wed_Evening,6,3.08
S36,Student_36,Visual,Python,Calculus|Computer Networks,Fri_Evening|Mon_Afternoon|Sat_Evening|Sat_Morning|Thu_Morning|Tue_Afternoon|Tue_Evening|Wed_Afternoon,2,3.55
S37,Student_37,Auditory,Calculus,Computer Networks|Python,Fri_Morning|Mon_Morning|Sat_Afternoon|Thu_Morning|Tue_Afternoon|Tue_Evening|Wed_Morning,5,3.19
S38,Student_38,Read-Write,Operating Systems,Database Systems|Statistics,Fri_Afternoon|Fri_Evening|Mon_Morning|Sat_Afternoon|Thu_Afternoon|Tue_Afternoon|Tue_Morning,3,3.4
S39,Student_39,Read-Write,Calculus,,Fri_Morning|Sat_Morning|Thu_Morning|Tue_Afternoon,5,3.26
